instance_id,n_vars,n_clauses,method,satisfiable,time_seconds,solution
1,4,10,BestCase,U,3.9291102439165115e-05,"{1: True, 2: False, 3: False, 4: False}"
2,4,10,BestCase,S,3.645801916718483e-05,"{1: False, 2: True, 3: True, 4: True}"
3,4,10,BestCase,U,3.341690171509981e-05,"{1: True, 2: False, 3: True, 4: False}"
4,4,10,BestCase,S,1.225003506988287e-05,"{1: True, 2: True, 3: True, 4: False}"
5,4,10,BestCase,S,1.4791963621973991e-05,"{1: False, 2: False, 3: True, 4: True}"
6,4,10,BestCase,S,1.0500079952180386e-05,"{1: True, 2: True, 3: True, 4: True}"
7,4,10,BestCase,S,2.462498378008604e-05,"{1: False, 2: False, 3: True, 4: False}"
8,4,10,BestCase,U,4.0458980947732925e-05,"{1: True, 2: False, 3: True, 4: False}"
9,4,10,BestCase,U,1.537497155368328e-05,"{1: True, 2: False, 3: False, 4: False}"
10,4,10,BestCase,U,4.099996294826269e-05,"{1: True, 2: False, 3: False, 4: True}"
11,8,16,BestCase,U,0.0001539579825475812,"{1: False, 2: True, 3: False, 4: False, 5: True, 6: True, 7: False, 8: False}"
12,8,16,BestCase,U,0.00029925000853836536,"{1: True, 2: True, 3: False, 4: False, 5: False, 6: False, 7: False, 8: False}"
13,8,16,BestCase,S,5.904200952500105e-05,"{1: True, 2: False, 3: False, 4: False, 5: True, 6: True, 7: True, 8: False}"
14,8,16,BestCase,S,0.00012083398178219795,"{1: False, 2: True, 3: False, 4: True, 5: True, 6: True, 7: True, 8: True}"
15,8,16,BestCase,U,0.00018262502271682024,"{1: False, 2: True, 3: False, 4: True, 5: True, 6: True, 7: True, 8: True}"
16,8,16,BestCase,U,0.00010616693180054426,"{1: True, 2: True, 3: True, 4: False, 5: False, 6: False, 7: False, 8: False}"
17,8,16,BestCase,S,5.158304702490568e-05,"{1: True, 2: False, 3: False, 4: False, 5: False, 6: False, 7: True, 8: False}"
18,8,16,BestCase,U,0.0002235829597339034,"{1: True, 2: True, 3: True, 4: True, 5: False, 6: False, 7: True, 8: True}"
19,8,16,BestCase,S,4.199997056275606e-05,"{1: False, 2: True, 3: True, 4: False, 5: True, 6: True, 7: True, 8: False}"
20,8,16,BestCase,S,2.8250040486454964e-05,"{1: True, 2: True, 3: True, 4: False, 5: True, 6: True, 7: True, 8: True}"
21,12,24,BestCase,S,7.170892786234617e-05,"{1: True, 2: True, 3: True, 4: False, 5: True, 6: True, 7: True, 8: False, 9: True, 10: True, 11: True, 12: False}"
22,12,24,BestCase,S,0.0005407080752775073,"{1: True, 2: False, 3: False, 4: True, 5: False, 6: False, 7: False, 8: True, 9: True, 10: True, 11: False, 12: False}"
23,12,24,BestCase,U,0.0006321250693872571,"{1: True, 2: True, 3: False, 4: True, 5: False, 6: False, 7: False, 8: False, 9: True, 10: True, 11: True, 12: False}"
24,12,24,BestCase,U,0.0002600420266389847,"{1: False, 2: True, 3: False, 4: False, 5: True, 6: False, 7: False, 8: False, 9: False, 10: False, 11: False, 12: False}"
25,12,24,BestCase,S,7.095804903656244e-05,"{1: True, 2: False, 3: True, 4: True, 5: True, 6: False, 7: True, 8: True, 9: False, 10: True, 11: False, 12: False}"
26,12,24,BestCase,U,0.000856833066791296,"{1: True, 2: False, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True, 9: True, 10: True, 11: False, 12: False}"
