instance_id,n_vars,n_clauses,method,satisfiable,time_seconds,solution
1,4,10,BruteForce,U,2.304196823388338e-05,{}
2,4,10,BruteForce,S,1.00000761449337e-05,"{1: False, 2: True, 3: True, 4: True}"
3,4,10,BruteForce,U,1.2875068932771683e-05,{}
4,4,10,BruteForce,S,8.208095096051693e-06,"{1: True, 2: False, 3: False, 4: False}"
5,4,10,BruteForce,S,4.332978278398514e-06,"{1: False, 2: False, 3: True, 4: True}"
6,4,10,BruteForce,S,8.417060598731041e-06,"{1: True, 2: True, 3: False, 4: True}"
7,4,10,BruteForce,S,2.374988980591297e-06,"{1: False, 2: False, 3: False, 4: False}"
8,4,10,BruteForce,U,7.6669966802001e-06,{}
9,4,10,BruteForce,U,7.874914444983006e-06,{}
10,4,10,BruteForce,U,7.625087164342403e-06,{}
11,8,16,BruteForce,U,0.00014179199934005737,{}
12,8,16,BruteForce,U,0.00013354106340557337,{}
13,8,16,BruteForce,S,6.649992428719997e-05,"{1: True, 2: False, 3: False, 4: False, 5: True, 6: False, 7: True, 8: False}"
14,8,16,BruteForce,S,4.6749948523938656e-05,"{1: False, 2: True, 3: False, 4: False, 5: True, 6: True, 7: True, 8: True}"
15,8,16,BruteForce,U,0.00014191598165780306,{}
16,8,16,BruteForce,U,0.00011449994053691626,{}
17,8,16,BruteForce,S,6.291596218943596e-05,"{1: True, 2: False, 3: False, 4: False, 5: False, 6: False, 7: True, 8: False}"
18,8,16,BruteForce,U,0.00011374999303370714,{}
19,8,16,BruteForce,S,3.670796286314726e-05,"{1: False, 2: True, 3: False, 4: False, 5: False, 6: True, 7: True, 8: False}"
20,8,16,BruteForce,S,7.25410645827651e-05,"{1: True, 2: False, 3: True, 4: False, 5: True, 6: True, 7: True, 8: True}"
21,12,24,BruteForce,S,0.0002002499531954527,"{1: False, 2: False, 3: False, 4: True, 5: True, 6: False, 7: True, 8: False, 9: True, 10: True, 11: False, 12: True}"
22,12,24,BruteForce,S,2.3250002413988113e-05,"{1: False, 2: False, 3: False, 4: False, 5: False, 6: False, 7: False, 8: True, 9: True, 10: True, 11: False, 12: False}"
23,12,24,BruteForce,U,0.0018616669112816453,{}
24,12,24,BruteForce,U,0.0018264580285176635,{}
25,12,24,BruteForce,S,9.462493471801281e-05,"{1: False, 2: False, 3: False, 4: False, 5: True, 6: True, 7: False, 8: True, 9: True, 10: True, 11: True, 12: False}"
26,12,24,BruteForce,U,0.0021098749712109566,{}
27,12,24,BruteForce,U,0.0018620830960571766,{}
28,12,24,BruteForce,S,0.0017155829118564725,"{1: True, 2: False, 3: True, 4: False, 5: True, 6: False, 7: False, 8: False, 9: False, 10: True, 11: True, 12: True}"
29,12,24,BruteForce,U,0.0022501249331980944,{}
30,12,24,BruteForce,S,0.0006021250737830997,"{1: False, 2: False, 3: True, 4: True, 5: False, 6: True, 7: True, 8: True, 9: True, 10: True, 11: True, 12: False}"
31,16,32,BruteForce,S,0.0017035420751199126,"{1: False, 2: False, 3: False, 4: True, 5: False, 6: False, 7: True, 8: False, 9: True, 10: False, 11: False, 12: False, 13: False, 14: False, 15: False, 16: True}"
32,16,32,BruteForce,U,0.0311262080213055,{}
33,16,32,BruteForce,S,0.01016308309044689,"{1: False, 2: True, 3: False, 4: True, 5: False, 6: True, 7: False, 8: True, 9: True, 10: False, 11: False, 12: True, 13: True, 14: True, 15: True, 16: True}"
34,16,32,BruteForce,S,0.01050979201681912,"{1: False, 2: True, 3: False, 4: True, 5: True, 6: False, 7: False, 8: False, 9: False, 10: True, 11: False, 12: False, 13: True, 14: True, 15: True, 16: True}"
