instance_id,n_vars,n_clauses,method,satisfiable,time_seconds,solution
1,4,10,BackTracking,U,5.183299072086811e-05,{}
2,4,10,BackTracking,S,2.2875028662383556e-05,"{1: False, 2: True, 3: True, 4: True}"
3,4,10,BackTracking,U,1.8165912479162216e-05,{}
4,4,10,BackTracking,S,1.100008375942707e-05,"{1: True, 2: True, 3: True, 4: False}"
5,4,10,BackTracking,S,1.1792057193815708e-05,"{1: False, 2: False, 3: True, 4: True}"
6,4,10,BackTracking,S,1.0958989150822163e-05,"{1: True, 2: True, 3: True, 4: True}"
7,4,10,BackTracking,S,1.762493047863245e-05,"{1: False, 2: False, 3: True, 4: False}"
8,4,10,BackTracking,U,3.091595135629177e-05,{}
9,4,10,BackTracking,U,1.0499963536858559e-05,{}
10,4,10,BackTracking,U,2.9832939617335796e-05,{}
11,8,16,BackTracking,U,0.00010433304123580456,{}
12,8,16,BackTracking,U,0.00017016706988215446,{}
13,8,16,BackTracking,S,4.225003067404032e-05,"{1: True, 2: False, 3: False, 4: False, 5: True, 6: True, 7: True, 8: False}"
14,8,16,BackTracking,S,7.604202255606651e-05,"{1: False, 2: True, 3: False, 4: True, 5: True, 6: True, 7: True, 8: True}"
15,8,16,BackTracking,U,0.00011200003791600466,{}
16,8,16,BackTracking,U,7.141707465052605e-05,{}
17,8,16,BackTracking,S,3.591598942875862e-05,"{1: True, 2: False, 3: False, 4: False, 5: False, 6: False, 7: True, 8: False}"
18,8,16,BackTracking,U,0.00013816601131111383,{}
19,8,16,BackTracking,S,3.404205199331045e-05,"{1: False, 2: True, 3: True, 4: False, 5: True, 6: True, 7: True, 8: False}"
20,8,16,BackTracking,S,2.6916968636214733e-05,"{1: True, 2: True, 3: True, 4: False, 5: True, 6: True, 7: True, 8: True}"
21,12,24,BackTracking,S,5.966704338788986e-05,"{1: True, 2: True, 3: True, 4: False, 5: True, 6: True, 7: True, 8: False, 9: True, 10: True, 11: True, 12: False}"
22,12,24,BackTracking,S,0.0003361250273883343,"{1: True, 2: False, 3: False, 4: True, 5: False, 6: False, 7: False, 8: True, 9: True, 10: True, 11: False, 12: False}"
23,12,24,BackTracking,U,0.0003605000674724579,{}
24,12,24,BackTracking,U,0.0001431250711902976,{}
25,12,24,BackTracking,S,5.6999968364834785e-05,"{1: True, 2: False, 3: True, 4: True, 5: True, 6: False, 7: True, 8: True, 9: False, 10: True, 11: False, 12: False}"
26,12,24,BackTracking,U,0.0004403749480843544,{}
27,12,24,BackTracking,U,0.00019599997904151678,{}
28,12,24,BackTracking,S,0.00020341703202575445,"{1: True, 2: False, 3: True, 4: False, 5: True, 6: False, 7: False, 8: True, 9: True, 10: True, 11: True, 12: True}"
29,12,24,BackTracking,U,0.0007025839295238256,{}
30,12,24,BackTracking,S,0.0005786250112578273,"{1: False, 2: False, 3: True, 4: True, 5: False, 6: True, 7: True, 8: True, 9: True, 10: True, 11: True, 12: False}"
31,16,32,BackTracking,S,0.0012783329002559185,"{1: True, 2: False, 3: False, 4: True, 5: False, 6: True, 7: True, 8: False, 9: True, 10: True, 11: True, 12: True, 13: True, 14: True, 15: False, 16: False}"
32,16,32,BackTracking,U,0.0003570839762687683,{}
33,16,32,BackTracking,S,0.0009023750899359584,"{1: False, 2: True, 3: False, 4: True, 5: False, 6: True, 7: False, 8: True, 9: True, 10: True, 11: False, 12: True, 13: True, 14: True, 15: True, 16: True}"
34,16,32,BackTracking,S,0.0002869999734684825,"{1: True, 2: True, 3: True, 4: True, 5: True, 6: True, 7: False, 8: True, 9: False, 10: True, 11: True, 12: False, 13: True, 14: True, 15: True, 16: True}"
35,16,32,BackTracking,U,0.0004503749078139663,{}
36,16,32,BackTracking,S,0.0006063750479370356,"{1: True, 2: True, 3: False, 4: True, 5: True, 6: False, 7: True, 8: True, 9: True, 10: True, 11: True, 12: True, 13: False, 14: True, 15: True, 16: True}"
37,16,32,BackTracking,U,0.000467000063508749,{}
38,16,32,BackTracking,U,0.0014443330001085997,{}
39,16,32,BackTracking,S,0.00021962495520710945,"{1: True, 2: False, 3: True, 4: True, 5: False, 6: False, 7: True, 8: False, 9: True, 10: False, 11: True, 12: True, 13: False, 14: False, 15: True, 16: False}"
40,16,32,BackTracking,U,0.0027025419985875487,{}
41,18,36,BackTracking,U,0.0013891250127926469,{}
42,18,36,BackTracking,U,0.0007925420068204403,{}
43,18,36,BackTracking,U,0.0001579170348122716,{}
44,18,36,BackTracking,U,0.0028964999364688993,{}
45,18,36,BackTracking,U,0.0002853330224752426,{}
46,18,36,BackTracking,U,0.003179707913659513,{}
47,18,36,BackTracking,U,0.005607209051959217,{}
48,18,36,BackTracking,S,0.00010308297351002693,"{1: True, 2: True, 3: True, 4: False, 5: True, 6: False, 7: True, 8: False, 9: True, 10: True, 11: False, 12: False, 13: True, 14: False, 15: True, 16: False, 17: False, 18: False}"
49,18,36,BackTracking,U,0.003258124925196171,{}
50,18,36,BackTracking,S,0.000384833081625402,"{1: True, 2: True, 3: True, 4: True, 5: True, 6: False, 7: False, 8: False, 9: True, 10: True, 11: True, 12: True, 13: False, 14: False, 15: True, 16: True, 17: False, 18: False}"
51,20,40,BackTracking,U,0.011177207925356925,{}
52,20,40,BackTracking,U,0.01008620799984783,{}
53,20,40,BackTracking,S,0.0007604580605402589,"{1: True, 2: False, 3: True, 4: True, 5: False, 6: True, 7: True, 8: False, 9: False, 10: False, 11: True, 12: False, 13: True, 14: False, 15: True, 16: False, 17: True, 18: True, 19: True, 20: True}"
54,20,40,BackTracking,U,0.008642416913062334,{}
55,20,40,BackTracking,U,0.0020517080556601286,{}
56,20,40,BackTracking,U,0.028413916938006878,{}
57,20,40,BackTracking,U,0.004298708983696997,{}
58,20,40,BackTracking,S,0.0007174999918788671,"{1: True, 2: True, 3: False, 4: False, 5: False, 6: True, 7: False, 8: True, 9: False, 10: False, 11: False, 12: True, 13: False, 14: True, 15: True, 16: True, 17: True, 18: True, 19: True, 20: False}"
59,20,40,BackTracking,U,0.0004159579984843731,{}
60,20,40,BackTracking,S,0.002440375043079257,"{1: True, 2: True, 3: False, 4: True, 5: True, 6: False, 7: False, 8: False, 9: False, 10: False, 11: True, 12: True, 13: False, 14: False, 15: False, 16: False, 17: False, 18: True, 19: False, 20: False}"
61,22,44,BackTracking,S,0.006796541973017156,"{1: True, 2: False, 3: True, 4: True, 5: True, 6: False, 7: True, 8: True, 9: True, 10: False, 11: True, 12: False, 13: True, 14: True, 15: False, 16: False, 17: False, 18: True, 19: True, 20: True, 21: False, 22: False}"
62,22,44,BackTracking,U,0.0034320419654250145,{}
63,22,44,BackTracking,U,0.006211041007190943,{}
64,22,44,BackTracking,U,0.0015162499621510506,{}
65,22,44,BackTracking,U,0.03934745898004621,{}
66,22,44,BackTracking,U,0.0028834169497713447,{}
67,22,44,BackTracking,U,0.07612550002522767,{}
68,22,44,BackTracking,U,0.015155958943068981,{}
69,22,44,BackTracking,U,0.003389249905012548,{}
70,22,44,BackTracking,U,4.4625019654631615e-05,{}
71,24,48,BackTracking,S,0.0011033340124413371,"{1: False, 2: True, 3: True, 4: True, 5: False, 6: True, 7: True, 8: True, 9: True, 10: True, 11: False, 12: True, 13: False, 14: True, 15: False, 16: True, 17: True, 18: True, 19: True, 20: False, 21: False, 22: True, 23: True, 24: True}"
72,24,48,BackTracking,U,0.027429500012658536,{}
73,24,48,BackTracking,U,0.01247504202183336,{}
74,24,48,BackTracking,S,0.006089999922551215,"{1: False, 2: True, 3: True, 4: True, 5: False, 6: True, 7: False, 8: True, 9: True, 10: False, 11: False, 12: True, 13: True, 14: True, 15: False, 16: False, 17: False, 18: True, 19: True, 20: False, 21: True, 22: False, 23: True, 24: True}"
75,24,48,BackTracking,U,0.00688887492287904,{}
76,24,48,BackTracking,U,0.04119266592897475,{}
77,24,48,BackTracking,U,0.0003998340107500553,{}
78,24,48,BackTracking,U,0.0007260419661179185,{}
79,24,48,BackTracking,U,0.046999167068861425,{}
80,24,48,BackTracking,S,0.0028017499716952443,"{1: True, 2: True, 3: True, 4: False, 5: True, 6: False, 7: True, 8: False, 9: True, 10: True, 11: True, 12: True, 13: True, 14: True, 15: True, 16: True, 17: False, 18: True, 19: True, 20: True, 21: False, 22: True, 23: False, 24: True}"
81,4,20,BackTracking,U,2.295803278684616e-05,{}
82,4,20,BackTracking,S,3.9375037886202335e-05,"{1: True, 2: False, 3: False, 4: False}"
83,4,20,BackTracking,S,3.770901821553707e-05,"{1: False, 2: True, 3: True, 4: False}"
84,4,20,BackTracking,S,2.020795363932848e-05,"{1: True, 2: True, 3: True, 4: False}"
85,4,20,BackTracking,U,3.7458958104252815e-05,{}
86,4,20,BackTracking,S,2.3416941985487938e-05,"{1: True, 2: True, 3: False, 4: True}"
87,4,20,BackTracking,U,4.175002686679363e-05,{}
88,4,20,BackTracking,U,3.562506753951311e-05,{}
89,4,20,BackTracking,U,4.058307968080044e-05,{}
90,4,20,BackTracking,S,2.1290965378284454e-05,"{1: True, 2: False, 3: True, 4: False}"
91,8,40,BackTracking,S,6.391701754182577e-05,"{1: True, 2: True, 3: True, 4: True, 5: True, 6: False, 7: False, 8: True}"
92,8,40,BackTracking,S,0.00018850003834813833,"{1: True, 2: False, 3: False, 4: True, 5: True, 6: False, 7: False, 8: False}"
93,8,40,BackTracking,S,0.00011270900722593069,"{1: True, 2: False, 3: False, 4: True, 5: False, 6: True, 7: True, 8: False}"
94,8,40,BackTracking,U,0.00017729203682392836,{}
95,8,40,BackTracking,U,0.0002465419238433242,{}
96,8,40,BackTracking,U,0.00035812496207654476,{}
97,8,40,BackTracking,U,0.00025766692124307156,{}
98,8,40,BackTracking,U,0.00033324991818517447,{}
99,8,40,BackTracking,U,0.00041025003883987665,{}
100,8,40,BackTracking,U,0.00019116699695587158,{}
101,12,60,BackTracking,U,0.005088625010102987,{}
102,12,60,BackTracking,S,0.0009909169748425484,"{1: True, 2: True, 3: False, 4: True, 5: True, 6: True, 7: False, 8: False, 9: False, 10: False, 11: False, 12: False}"
103,12,60,BackTracking,U,0.0032858329359441996,{}
104,12,60,BackTracking,S,0.00043845793697983027,"{1: True, 2: False, 3: False, 4: False, 5: False, 6: False, 7: False, 8: False, 9: False, 10: False, 11: True, 12: False}"
105,12,60,BackTracking,U,0.003478416008874774,{}
106,12,60,BackTracking,U,0.002092250040732324,{}
107,12,60,BackTracking,U,0.001901749987155199,{}
108,12,60,BackTracking,U,0.005166500108316541,{}
109,12,60,BackTracking,S,0.00023270794190466404,"{1: True, 2: True, 3: False, 4: False, 5: True, 6: False, 7: False, 8: True, 9: True, 10: True, 11: False, 12: False}"
110,12,60,BackTracking,U,0.0013285409659147263,{}
111,16,80,BackTracking,U,0.014351250021718442,{}
112,16,80,BackTracking,S,0.007559457910247147,"{1: False, 2: True, 3: True, 4: True, 5: False, 6: True, 7: True, 8: True, 9: False, 10: True, 11: False, 12: True, 13: False, 14: True, 15: True, 16: True}"
113,16,80,BackTracking,U,0.01937579200603068,{}
114,16,80,BackTracking,U,0.02241112501360476,{}
115,16,80,BackTracking,U,0.00519695901311934,{}
116,16,80,BackTracking,U,0.00971666700206697,{}
117,16,80,BackTracking,U,0.008443832979537547,{}
118,16,80,BackTracking,U,0.008706375025212765,{}
119,16,80,BackTracking,U,0.00793025002349168,{}
120,16,80,BackTracking,S,0.009022750076837838,"{1: False, 2: False, 3: False, 4: True, 5: False, 6: False, 7: True, 8: False, 9: False, 10: True, 11: True, 12: True, 13: True, 14: False, 15: True, 16: True}"
121,18,90,BackTracking,U,0.03716320905368775,{}
122,18,90,BackTracking,U,0.0208927079802379,{}
123,18,90,BackTracking,U,0.02228441694751382,{}
124,18,90,BackTracking,U,0.017880624975077808,{}
125,18,90,BackTracking,U,0.035623000003397465,{}
126,18,90,BackTracking,S,0.001082708011381328,"{1: True, 2: True, 3: True, 4: False, 5: True, 6: False, 7: True, 8: False, 9: False, 10: True, 11: True, 12: False, 13: True, 14: False, 15: False, 16: False, 17: True, 18: False}"
